en,pt-br
you,você
i,eu
the,a
to,para
a,uma
s,s
it,isto
and,e
that,que
t,t
of,de
is,é
in,dentro
what,que
we,nós
me,mim
this,esta
he,ele
for,por
my,minha
on,em
have,tenho
your,sua
do,Faz
was,estava
m,m
no,não
not,não
be,ser
are,estão
don,vestir
re,ré
know,conhecer
can,posso
with,com
but,mas
all,tudo
so,então
just,apenas
there,lá
here,aqui
they,elas
like,Como
ll,ll
get,obter
she,ela
go,vai
if,E se
right,direita
out,Fora
about,cerca de
up,acima
at,no
him,ele
now,agora
oh,oh
one,1
come,venha
well,Nós vamos
her,sua
how,Como as
yeah,sim
ve,ve
will,vontade
got,obteve
want,querer
think,acho
as,como
see,Vejo
did,fez
good,Boa
who,quem
why,Por quê
from,a partir de
let,deixar
his,seu
yes,sim
when,quando
going,indo
time,Tempo
an,a
okay,ok
back,costas
look,olhar
us,nós
would,seria
them,eles
where,Onde
were,estavam
take,leva
then,então
had,tive
or,ou
been,estive
our,nosso
gonna,vai
tell,dizer
really,verdade
man,cara
some,algum
say,dizer
hey,Ei
could,poderia
d,d
didn,não
by,de
need,necessidade
something,alguma coisa
has,tem
too,também
more,mais
way,maneira
down,baixa
make,fazer
very,muito
never,Nunca
only,só
people,pessoas
over,sobre
because,Porque
little,pouco
please,por favor
love,amar
should,deve
mean,quer dizer
said,disse
sorry,desculpe
give,dar
off,fora
am,sou
thank,agradecer
any,algum
two,dois
even,até
much,Muito de
doing,fazendo
sure,certo
thing,coisa
these,esses
help,ajuda
first,primeiro
into,para dentro
anything,nada
still,ainda
find,encontrar
life,vida
nothing,nada
sir,Senhor
day,dia
god,Deus
work,trabalhar
their,seus
uh,uh
again,novamente
maybe,pode ser
must,devo
before,antes
other,outro
wait,esperar
stop,Pare
call,ligar
after,depois
won,ganho
talk,conversa
away,longe
than,que
thought,pensamento
home,casa
night,noite
put,por
great,excelente
those,Essa
last,último
better,melhorar
everything,tudo
told,contou
mr.,Senhor.
new,novo
things,coisas
always,sempre
keep,continuar
long,grandes
years,anos
leave,deixar
does,faz
money,dinheiro
around,por aí
doesn,não
name,nome
place,"Lugar, colocar"
ever,sempre
feel,sentir
guys,caras
father,pai
guy,cara
made,feito
old,velho
isn,isn
which,que
big,grande
lot,muitos
done,feito
hello,olá
nice,bom
believe,acreditam
girl,menina
someone,alguém
fine,multar
thanks,obrigado
wanted,procurado
kind,Gentil
coming,chegando
house,lar
every,cada
ok,OK
through,Através dos
being,sendo
course,curso
stay,fica
left,deixou
dad,Papai
enough,suficiente
happened,ocorrido
came,veio
may,maio
mother,mãe
wrong,errado
world,mundo
bad,ruim
might,poderia
three,três
today,hoje
listen,ouço
another,outro
understand,Compreendo
hear,ouvir
remember,lembrar
ask,perguntar
own,ter
same,mesmo
show,exposição
else,senão
kill,matar
talking,conversando
found,encontrado
next,Next
getting,recebendo
care,Cuidado
car,carro
looking,olhando
son,filho
try,experimentar
woman,mulher
went,fui
hi,Oi
dead,morta
many,muitos
mind,mente
wasn,não era
friend,amigo
best,melhor
mom,mamãe
hell,inferno
morning,manhã
trying,tentando
boy,Garoto
together,juntos
yourself,você mesma
job,trabalho
saw,Serra
family,família
real,real
without,sem
baby,bebê
room,sala
wouldn,não
already,já
move,jogada
most,a maioria
seen,visto
live,viver
miss,senhorita
actually,na realidade
huh,Hã
shit,merda
both,Ambas
heard,ouvi
once,uma vez
ready,pronto
head,cabeça
called,chamado
used,usado
idea,idéia
knew,sabia
hold,aguarde
happy,feliz
door,porta
such,tal
fuck,Porra
brother,irmão
also,Além disso
pretty,bonito
bit,pedaço
took,tomou
haven,refúgio
yet,ainda
men,homens
whole,inteira
start,começar
use,usar
while,enquanto
since,Desde a
wife,esposa
days,dias
guess,adivinhar
tomorrow,amanhã
matter,matéria
meet,Conheça
bring,trazer
tonight,esta noite
everyone,todos
run,correr
wanna,quer
hard,Difícil
ah,Ah
alone,sozinho
myself,Eu mesmo
school,escola
gone,se foi
um,hum
end,fim
saying,dizendo
phone,telefone
play,Toque
looks,parece
couldn,não poderia
fucking,Porra
problem,problema
few,alguns
friends,amigos
gotta,preciso
ago,atrás
open,abrir
anyone,alguém
killed,morto
hope,esperança
face,Rosto
until,até
lost,perdido
police,polícia
excuse,com licença
turn,virar
business,o negócio
case,caso
wants,quer
says,diz
TRUE,VERDADE
